"year","totalprecip"
1885,34.437
1886,30.045
1887,37.16
1888,47.916
1889,30.448
1890,41.618
1891,29.244
1892,22.32
1893,30.285
1894,31.571
1895,40.743
1896,42.179
1897,55.025
1898,42.252
1899,69.998
1900,47.043
1901,58.926
1902,91.937
1903,60.59
1904,32.348
1905,38.075
1906,43.91
1907,39.995
1908,48.354
1909,41.43
1910,32.03
1911,49.736
1912,57.967
1913,45.653
1914,46.381
1915,49.88
1916,37.647
1917,31.008
1918,24.831
1919,32.91
1920,38.327
1921,35.821
1922,28.388
1923,61.583
1924,64.197
1925,47.934
1926,65.227
1927,80.586
1928,45.135
1929,36.085
1930,39.754
1931,31.548
1932,56.234
1933,35.093
1934,38.229
1935,47.757
1936,27.403
1937,52.416
1938,45.271
1939,51.109
1940,48.797
1941,43.006
1942,55.952
1943,36.223
1944,46.823
1945,62.986
1946,50.468
1947,54.2
1948,48.441
1949,29.002
1950,48.237
1951,81.513
1952,48.138
1953,57.738
1954,62.359
1955,42.906
1956,48.26
1957,42.999
1958,40.469
1959,47.174
1960,42.088
1961,47.524
1962,36.146
1963,49.841
1964,47.192
1965,67.982
1966,49.579
1967,33.579
1968,44.092
1969,50.167
1970,48.641
1971,47.735
1972,58.089
1973,42.97
1974,41.161
1975,45.414
1976,46.301
1977,47.178
1978,59.841
1979,33.857
1980,51.064
1981,54.144
1982,48.193
1983,35.229
1984,42.193
1985,45.485
1986,52.223
1987,39.366
1988,45.527
1989,45.253
1990,47.298
1991,46.32
1992,56.339
1993,51.073
1994,41.688
1995,47.454
1996,44.487
1997,49.768
1998,60.054
1999,50.612
2000,51.272
2001,39.578
2002,41.471
2003,52.756
2004,44.293
2005,59.168
2006,49.493
2007,57.879
2008,58.923
2009,38.595
2010,50.446
2011,58.815
2012,37.557
