"year"	"totalprecip"
1895	252.2
1896	260.8
1897	307.4
1898	263.5
1899	461
1900	316.9
1901	319.6
1902	528.8
1903	304.7
1904	203.1
1905	302.8
1906	388.3
1907	213.4
1908	288.1
1909	235.1
1910	183.6
1911	307.5
1912	376
1913	251.8
1914	227.1
1915	279.3
1916	232.9
1917	172.4
1918	148.1
1919	111.2
1920	209.8
1921	181.9
1922	121.9
1923	347.1
1924	419.2
1925	297.9
1926	270.2
1927	471.8
1928	270.4
1929	193.5
1930	311.6
1931	149
1932	341.1
1933	243.5
1934	226.2
1935	307
1936	190.1
1937	311.3
1938	154.5
1939	263.1
1940	253.5
1941	300.6
1942	365.7
1943	236.5
1944	296.4
1945	443.8
1946	276.6
1947	347.5
1948	250.7
1949	188.8
1950	309.3
1951	538.8
1952	300.6
1953	326.3
1954	401.3
1955	303.2
1956	357.3
1957	229.7
1958	221.7
1959	321.8
1960	300.9
1961	372.8
1962	183.8
1963	303.8
1964	260.9
1965	432.6
1966	231.3
1967	184.1
1968	298.8
1969	355.9
1970	333.2
1971	284.8
1972	363.1
1973	233.1
1974	222.4
1975	275.9
1976	295.2
1977	281.4
1978	377.6
1979	214.7
1980	377.7
1981	345.2
1982	267.6
1983	208.7
1984	217.4
1985	241
1986	377.8
1987	238.6
1988	228
1989	260.8
1990	304.6
1991	282.4
1992	341.5
1993	357.3
1994	260.4
1995	213.7
1996	284.9
1997	280.9
1998	369.8
1999	273.1
2000	213.4
2001	230.1
2002	191.3
2003	315.1
2004	235.7
2005	256.4
2006	334.3
2007	253.3
